# Accelerometer Data File
# Started @Tue Aug 01 23:16:22 GMT+08:00 2017
#
#
# sensor Vendor: BOSCH
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0023956299m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:GAME
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.325 0.252 9.761 20
0.294 0.261 9.758 21
0.278 0.247 9.768 20
0.213 0.247 9.751 20
0.182 0.249 9.763 20
0.215 0.264 9.77 20
0.213 0.254 9.77 20
0.158 0.24 9.77 20
0.079 0.266 9.737 21
0.088 0.285 9.749 20
0.115 0.237 9.761 20
0.079 0.257 9.758 20
-0.006 0.268 9.763 20
-0.021 0.237 9.756 20
-0.002 0.225 9.753 20
0.0 0.249 9.773 21
-0.037 0.261 9.761 20
-0.095 0.237 9.742 20
-0.093 0.237 9.765 20
-0.064 0.257 9.77 20
-0.045 0.233 9.773 20
-0.078 0.254 9.751 20
-0.076 0.276 9.751 21
-0.078 0.268 9.761 20
-0.057 0.249 9.751 20
-0.033 0.257 9.753 20
-0.028 0.264 9.78 20
-0.064 0.24 9.773 20
-0.049 0.247 9.763 20
-0.014 0.271 9.761 21
0.012 0.24 9.756 20
0.017 0.259 9.758 20
-0.011 0.264 9.773 20
0.033 0.249 9.763 20
0.048 0.24 9.768 20
0.009 0.285 9.768 20
0.014 0.29 9.756 21
0.062 0.261 9.768 20
0.096 0.28 9.765 20
0.093 0.278 9.756 20
0.069 0.252 9.763 20
0.06 0.247 9.758 20
0.076 0.259 9.761 20
0.117 0.235 9.756 21
0.129 0.252 9.775 20
0.096 0.278 9.77 20
0.06 0.259 9.746 20
0.091 0.273 9.765 20
0.136 0.249 9.77 20
0.143 0.24 9.753 20
0.084 0.249 9.761 21
0.074 0.259 9.751 20
0.143 0.233 9.756 20
0.179 0.228 9.753 20
0.12 0.278 9.77 20
0.088 0.261 9.761 20
0.132 0.247 9.77 20
0.17 0.271 9.763 21
0.165 0.259 9.763 20
0.112 0.278 9.761 20
0.127 0.273 9.775 20
0.146 0.24 9.782 20
0.146 0.254 9.758 20
0.141 0.288 9.756 20
0.148 0.245 9.763 21
0.103 0.24 9.77 20
0.103 0.257 9.761 20
0.141 0.252 9.746 20
0.132 0.252 9.749 20
0.088 0.271 9.742 20
0.076 0.261 9.763 20
0.072 0.237 9.768 21
0.067 0.268 9.756 20
0.048 0.285 9.753 20
0.024 0.247 9.763 20
0.014 0.254 9.751 20
0.079 0.259 9.758 20
0.045 0.259 9.761 20
-0.004 0.259 9.749 21
-0.009 0.249 9.756 20
