# Accelerometer Data File
# Started @Tue Aug 01 23:45:42 GMT+08:00 2017
#
#
# sensor Vendor: BOSCH
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0023956299m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:GAME
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.2 0.278 9.746 20
-0.128 0.297 9.744 20
-0.04 0.29 9.744 21
0.053 0.278 9.751 20
0.146 0.28 9.756 20
0.256 0.285 9.773 20
0.397 0.278 9.746 20
0.491 0.271 9.768 20
0.589 0.259 9.763 20
0.67 0.242 9.763 21
0.759 0.209 9.787 20
0.85 0.221 9.773 20
0.898 0.228 9.777 20
0.919 0.225 9.773 20
0.977 0.221 9.782 20
1.001 0.237 9.794 20
1.02 0.242 9.794 21
1.003 0.252 9.789 20
0.991 0.249 9.782 20
0.958 0.249 9.78 20
0.883 0.247 9.78 20
0.807 0.259 9.758 20
0.709 0.278 9.785 20
0.594 0.276 9.761 21
0.486 0.292 9.727 20
0.366 0.312 9.744 20
0.225 0.292 9.737 20
0.086 0.3 9.744 20
-0.054 0.285 9.732 20
-0.198 0.283 9.725 20
-0.31 0.288 9.749 21
-0.428 0.252 9.756 20
-0.519 0.23 9.763 20
-0.605 0.218 9.775 20
-0.689 0.257 9.761 20
-0.737 0.24 9.775 20
-0.787 0.228 9.775 20
-0.789 0.194 9.773 21
-0.82 0.166 9.765 20
-0.849 0.168 9.758 20
-0.854 0.209 9.785 20
-0.828 0.209 9.77 20
-0.787 0.199 9.785 20
-0.744 0.199 9.765 20
-0.696 0.225 9.756 21
-0.624 0.233 9.758 20
-0.495 0.249 9.773 20
-0.394 0.242 9.756 20
-0.296 0.235 9.746 20
-0.2 0.242 9.749 20
-0.088 0.271 9.744 20
0.045 0.285 9.732 20
0.165 0.268 9.727 21
0.282 0.273 9.756 20
0.407 0.285 9.756 20
0.495 0.3 9.756 20
0.584 0.302 9.758 20
0.682 0.292 9.768 20
0.749 0.292 9.761 21
0.79 0.302 9.789 20
0.835 0.271 9.765 20
0.862 0.3 9.765 20
0.905 0.3 9.773 20
0.922 0.268 9.77 20
0.869 0.273 9.785 20
0.84 0.276 9.777 21
0.811 0.245 9.78 20
0.766 0.259 9.77 20
0.701 0.268 9.756 20
0.625 0.235 9.77 20
0.512 0.237 9.777 20
0.443 0.257 9.751 20
0.388 0.259 9.746 21
0.28 0.266 9.761 20
0.158 0.271 9.756 20
0.084 0.268 9.761 20
0.014 0.285 9.768 20
-0.057 0.29 9.763 20
-0.133 0.257 9.761 20
-0.21 0.257 9.763 20
-0.263 0.268 9.744 21
-0.289 0.235 9.758 20
-0.296 0.225 9.765 20
-0.33 0.24 9.765 20
-0.342 0.211 9.768 20
-0.353 0.197 9.773 20
-0.346 0.206 9.751 21
-0.344 0.189 9.765 20
-0.337 0.175 9.765 20
-0.303 0.211 9.753 20
-0.291 0.223 9.753 20
-0.265 0.233 9.753 20
-0.231 0.245 9.765 20
-0.219 0.249 9.753 21
-0.203 0.264 9.77 20
-0.169 0.295 9.765 20
-0.114 0.307 9.749 20
-0.109 0.29 9.746 20
