# Accelerometer Data File
# Started @Tue Aug 01 23:12:13 GMT+08:00 2017
#
#
# sensor Vendor: BOSCH
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0023956299m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:GAME
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.27 0.168 9.761 20
-0.243 0.163 9.758 20
-0.229 0.173 9.782 20
-0.222 0.204 9.758 20
-0.231 0.197 9.753 20
-0.181 0.194 9.761 20
-0.126 0.204 9.773 21
-0.09 0.259 9.77 20
-0.061 0.218 9.782 20
-0.047 0.216 9.775 20
0.005 0.28 9.753 20
0.057 0.268 9.746 20
0.146 0.216 9.768 20
0.163 0.257 9.777 21
0.143 0.309 9.777 20
0.213 0.245 9.758 20
0.313 0.223 9.758 20
0.349 0.264 9.756 20
0.369 0.264 9.768 20
0.333 0.216 9.768 20
0.393 0.221 9.768 20
0.474 0.235 9.753 21
0.488 0.223 9.761 20
0.416 0.206 9.756 20
0.371 0.218 9.768 20
0.402 0.213 9.77 20
0.467 0.178 9.763 20
0.486 0.178 9.77 20
0.352 0.192 9.756 21
0.28 0.213 9.768 20
0.311 0.185 9.785 20
0.345 0.161 9.768 20
0.299 0.209 9.782 20
0.163 0.225 9.761 20
0.103 0.199 9.756 20
0.139 0.194 9.751 21
0.12 0.245 9.742 20
0.041 0.242 9.765 20
-0.04 0.216 9.775 20
-0.057 0.204 9.763 20
-0.042 0.259 9.751 20
-0.061 0.242 9.765 20
-0.095 0.199 9.773 21
-0.167 0.23 9.77 20
-0.2 0.28 9.765 20
-0.188 0.223 9.749 20
-0.133 0.216 9.768 20
-0.181 0.266 9.763 20
-0.255 0.242 9.746 20
-0.234 0.216 9.763 21
-0.145 0.23 9.739 20
-0.09 0.242 9.746 20
-0.188 0.23 9.775 20
-0.224 0.201 9.765 20
-0.116 0.204 9.78 20
-0.016 0.206 9.753 20
0.005 0.218 9.749 21
-0.042 0.223 9.768 20
-0.045 0.206 9.789 20
0.036 0.216 9.756 20
0.132 0.213 9.756 20
0.165 0.194 9.765 20
0.151 0.206 9.775 20
0.141 0.216 9.761 21
0.196 0.228 9.749 20
0.285 0.228 9.775 20
0.342 0.211 9.763 20
0.345 0.211 9.777 20
0.309 0.199 9.773 20
0.28 0.223 9.761 20
0.345 0.271 9.758 21
0.428 0.264 9.768 20
0.416 0.223 9.773 20
0.302 0.23 9.763 20
0.285 0.28 9.775 20
0.357 0.225 9.789 20
0.397 0.182 9.768 20
0.285 0.266 9.763 21
0.191 0.254 9.787 20
0.199 0.201 9.765 20
0.244 0.218 9.751 20
0.333 0.235 9.789 20
0.143 0.201 9.761 20
-0.054 0.23 9.746 20
0.041 0.257 9.744 21
0.249 0.185 9.782 20
0.124 0.156 9.763 20
-0.107 0.245 9.773 20
-0.176 0.245 9.785 20
-0.045 0.161 9.78 20
0.076 0.178 9.768 20
-0.03 0.233 9.765 21
-0.222 0.185 9.775 20
-0.26 0.166 9.751 20
-0.066 0.228 9.777 20
-0.004 0.199 9.746 20
-0.124 0.201 9.761 20
-0.248 0.216 9.782 20
-0.217 0.237 9.777 21
-0.066 0.23 9.742 20
0.014 0.218 9.749 20
-0.102 0.249 9.773 20
-0.179 0.237 9.773 20
-0.081 0.228 9.756 20
0.072 0.237 9.77 20
0.084 0.235 9.775 21
0.014 0.218 9.773 20
-0.025 0.268 9.758 20
0.06 0.261 9.775 20
0.194 0.223 9.777 20
0.201 0.23 9.765 20
0.117 0.273 9.787 20
0.105 0.266 9.761 21
0.237 0.204 9.768 20
0.371 0.225 9.792 20
0.299 0.247 9.756 20
0.199 0.24 9.746 20
0.263 0.221 9.775 20
0.349 0.221 9.758 20
0.325 0.23 9.775 21
0.29 0.192 9.77 20
0.275 0.158 9.765 20
0.273 0.206 9.773 20
0.304 0.206 9.758 20
0.316 0.175 9.756 20
0.273 0.185 9.768 20
0.184 0.228 9.773 21
0.179 0.211 9.768 20
0.225 0.194 9.732 20
0.218 0.218 9.751 20
0.146 0.24 9.77 20
0.062 0.206 9.773 20
0.081 0.211 9.799 20
0.11 0.257 9.773 21
0.06 0.266 9.739 20
-0.002 0.245 9.77 20
-0.025 0.216 9.773 20
-0.023 0.233 9.785 20
-0.04 0.252 9.746 20
-0.025 0.223 9.773 20
-0.093 0.23 9.77 21
-0.128 0.228 9.765 20
-0.112 0.23 9.761 20
-0.088 0.221 9.761 20
-0.042 0.218 9.768 20
-0.083 0.223 9.775 20
-0.162 0.211 9.761 20
-0.121 0.201 9.775 21
-0.045 0.225 9.77 20
-0.009 0.213 9.792 20
-0.04 0.197 9.756 20
-0.047 0.218 9.758 20
-0.009 0.211 9.768 20
0.053 0.189 9.739 20
0.057 0.204 9.746 21
0.079 0.233 9.761 20
0.079 0.192 9.758 20
0.105 0.209 9.761 20
0.167 0.235 9.758 20
0.189 0.201 9.77 20
0.16 0.194 9.756 20
0.16 0.235 9.756 21
0.199 0.242 9.768 20
0.282 0.211 9.763 20
0.268 0.211 9.77 20
0.22 0.268 9.782 20
0.206 0.254 9.775 20
0.275 0.209 9.775 20
0.316 0.247 9.763 21
0.266 0.264 9.768 20
0.211 0.218 9.756 20
